features,model,mae,mse,rmse,r2
geo,Median baseline,1.418429752066116,2.4647297520661167,1.5699457799765304,-2.8484692137357643
geo,Linear Regression,0.5277345075680083,0.43387718138635095,0.658693541327339,0.32253709612256587
geo,Random Forest,0.42724876033057907,0.2868393017355378,0.5355738060580799,0.5521244383513781
geo,Gradient Boosting,0.4011023031455179,0.2677333009699837,0.517429513044998,0.5819568594037102
catalog,Median baseline,1.418429752066116,2.4647297520661167,1.5699457799765304,-2.8484692137357643
catalog,Linear Regression,0.23759375503085456,0.10902784942587221,0.3301936544300514,0.829762138585962
catalog,Random Forest,0.1167578512396696,0.049580738264462805,0.2226673264411795,0.9225838270321016
catalog,Gradient Boosting,0.13421059228684998,0.058373180519791984,0.24160542320029157,0.9088551643643917
